Community,WT_Rxns_high_fiber_vmh,WT_Growth_high_fiber_vmh,WT_M1_Growth_high_fiber_vmh,WT_M2_Growth_high_fiber_vmh,MRM_Rxns_high_fiber_vmh,MRM_Growth_high_fiber_vmh,MRM_M1_Growth_high_fiber_vmh,MRM_M2_Growth_high_fiber_vmh,WT_Rxns_Mediterranian,WT_Growth_Mediterranian,WT_M1_Growth_Mediterranian,WT_M2_Growth_Mediterranian,MRM_Rxns_Mediterranian,MRM_Growth_Mediterranian,MRM_M1_Growth_Mediterranian,MRM_M2_Growth_Mediterranian,WT_Rxns_Unhealthy,WT_Growth_Unhealthy,WT_M1_Growth_Unhealthy,WT_M2_Growth_Unhealthy,MRM_Rxns_Unhealthy,MRM_Growth_Unhealthy,MRM_M1_Growth_Unhealthy,MRM_M2_Growth_Unhealthy,WT_Rxns_vegetarian_diet,WT_Growth_vegetarian_diet,WT_M1_Growth_vegetarian_diet,WT_M2_Growth_vegetarian_diet,MRM_Rxns_vegetarian_diet,MRM_Growth_vegetarian_diet,MRM_M1_Growth_vegetarian_diet,MRM_M2_Growth_vegetarian_diet,WT_Rxns_Western_VMH,WT_Growth_Western_VMH,WT_M1_Growth_Western_VMH,WT_M2_Growth_Western_VMH,MRM_Rxns_Western_VMH,MRM_Growth_Western_VMH,MRM_M1_Growth_Western_VMH,MRM_M2_Growth_Western_VMH,WT_Rxns_No_Diet,WT_Growth_No_Diet,WT_M1_Growth_No_Diet,WT_M2_Growth_No_Diet,MRM_Rxns_No_Diet,MRM_Growth_No_Diet,MRM_M1_Growth_No_Diet,MRM_M2_Growth_No_Diet
Acidaminococcus_fermentans_DSM_20731_AND_Akkermansia_muciniphila_ATCC_BAA_835,1186,0.176031526338141,0.00943816075233213,0.166593365585809,1009,0.176031526338141,0.00943816075233214,0.166593365585809,1223,0.145252274036523,0.0453790327922194,0.0998732412443038,518,0.145252274036523,0,0.145252274036523,1183,0.0596911214264911,0.015625131216027,0.0440659902104642,1000,0.0556950055501372,0.015625131194359,0.0400698743557782,1188,0.115659624961341,0.00970315523796417,0.105956469723377,520,0.115659624961341,0,0.115659624961341,1207,0.0322914195385375,0.0103953993591653,0.0218960201793722,1017,0.0322914195385375,0.0103953993591653,0.0218960201793722,1184,63.4839379881435,32.6823265303765,30.801611457767,1007,43.1751087503606,16.3723382404429,26.8027705099177
Acidaminococcus_fermentans_DSM_20731_AND_Alistipes_finegoldii_DSM_17242,756,0.00943816075233214,0.00943816075233214,0,512,0.00943816075233214,0.00943816075233214,0,1186,0.145252274036523,0.0207472323192086,0.124505041717315,945,0.145252274036523,0.019508381970695,0.125743892065828,808,0.0596911214264911,0,0.0596911214264911,963,0.0596911214264911,0.0156251311943524,0.0440659902321388,1190,0.0695358667816562,0.00970315520645948,0.0598327115751967,971,0.0695358667815844,0.00970315520973975,0.0598327115718447,775,0.0103953993591454,0,0.0103953993591454,516,0.0103953993591653,0.0103953993591653,0,1136,109.831181560587,26.6605592014418,83.1706223591455,979,63.7912951138634,5.59237979278684,58.1989153210766
Acidaminococcus_fermentans_DSM_20731_AND_Alistipes_putredinis_DSM_17216,817,0.0207472323192086,0,0.0207472323192086,521,0.0207472323192086,0,0.0207472323192086,817,0.020747232319162,0,0.020747232319162,498,0.0207472323192086,0.0207472323192086,0,823,0.0156251311943507,0,0.0156251311943507,509,0.0156251311943505,0.0156251311943505,0,817,0.00970315520973979,0,0.00970315520973979,513,0.00970315520973992,0.00970315520973992,0,1174,0.0251309731219938,0.00892269577527056,0.0162082773467232,1019,0.0135700234924247,0.0100781208864197,0.00349190260600495,1135,83.1160818345499,22.9708299342271,60.1452519003228,1013,64.4927001220402,6.65018118391776,57.8425189381224
Acidaminococcus_fermentans_DSM_20731_AND_Alistipes_shahii_WAL_8301,782,0.00943816075233214,0,0.00943816075233214,512,0.00943816075233214,0.00943816075233214,0,1199,0.0341685666575315,0.0207472323192086,0.0134213343383228,978,0.0213820332077478,0.0200266113611766,0.00135542184657118,1187,0.0290464655407523,0.0156251312024295,0.0134213343383228,996,0.0290464655326744,0.0156251311943516,0.0134213343383228,1188,0.023124489526425,0.00970315518810217,0.0134213343383228,993,0.0231244895480626,0.00970315520973979,0.0134213343383228,731,0.0103953993591653,0.0103953993591653,0,492,0.0103953993591653,0,0.0103953993591653,1160,93.4219586083136,26.8010666532971,66.6208919550165,985,51.8998926559641,7.46884013923858,44.4310525167256
Acidaminococcus_fermentans_DSM_20731_AND_Bacteroides_caccae_ATCC_43185,1063,0.0793606476554002,0.00943816075233213,0.0699224869030681,882,0.0221940466741691,0.00943816075233214,0.012755885921837,1061,0.070114643602747,0.0207472323192086,0.0493674112835384,870,0.0261857095661182,0.0207472323192086,0.00543847724690962,1044,0.0330977076751909,0.0156251311976715,0.0174725764775194,880,0.0243778068688894,0.015625131194351,0.00875267567453835,1095,0.0517158845597344,0.00970315520974306,0.0420127293499913,883,0.0222875794222767,0.00970315520973984,0.0125844242125368,1098,0.0291332197758944,0.0103953993591653,0.0187378204167291,889,0.0138436233937939,0.00809328110241645,0.00575034229137748,1061,84.2094095272025,32.0394361786507,52.1699733485518,882,60.9466801577243,14.2967272600702,46.6499528976541
Acidaminococcus_fermentans_DSM_20731_AND_Bacteroides_coprocola_M16_DSM_17136,1105,0.0150607586665834,0.00943816075233214,0.00562259791425122,902,0.0150607586660515,0.00943816075233214,0.00562259791371941,1081,0.0263698302329996,0.0207472323192086,0.00562259791379095,888,0.0245790085641297,0.0207472323192086,0.00383177624492108,1105,0.0212477291166801,0.0156251312024289,0.00562259791425121,897,0.0212477291080704,0.0156251311943511,0.00562259791371936,1074,0.0153257531109776,0.00970315519734005,0.00562259791363753,903,0.0153257531234593,0.00970315520973992,0.00562259791371941,1114,0.0204476485873179,0.0103953993591653,0.0100522492281525,903,0.0140483070898146,0.00399605786172978,0.0100522492280848,1065,90.9820987592271,31.7987664078283,59.1833323513988,899,60.4487351345335,8.84045897834103,51.6082761561925
Acidaminococcus_fermentans_DSM_20731_AND_Bacteroides_eggerthii_DSM_20697,1104,0.0793606476554002,0.00943816075233214,0.0699224869030681,904,0.0200785696623311,0.00943816075233214,0.010640408909999,1090,0.070114643602747,0.0207472323192086,0.0493674112835384,893,0.031736760995345,0.0207472323192086,0.0109895286761364,1067,0.0330977076780621,0.0156251312024292,0.0174725764756329,901,0.0294588718466271,0.0156251311943506,0.0138337406522765,1096,0.0517158845799097,0.00970315524317411,0.0420127293367356,906,0.0204803378800626,0.00970315520973979,0.0107771826703228,1093,0.0291332197758944,0.0103953993591653,0.0187378204167291,903,0.0140257504937416,0.0044475809261349,0.00957816956760668,1095,38.6825759504686,35.1433793480973,3.53919660237126,883,24.0003754806181,20.4611788782468,3.53919660237126
Acidaminococcus_fermentans_DSM_20731_AND_Bacteroides_fragilis_NCTC_9343,1337,0.185783282412536,0.00943816075233214,0.176345121660203,1010,0.185783282412536,0.00943816075233214,0.176345121660203,933,0.145252274036523,0,0.145252274036523,996,0.145252274036523,0.0207472323192086,0.124505041717315,1328,0.0596911214264911,0.0156251312024289,0.0440659902240623,1009,0.0596911214264911,0.0156251311943505,0.0440659902321406,946,0.115659624961341,0,0.115659624961341,1019,0.115659624961341,0.00970315520973988,0.105956469751601,1301,0.0322914195385375,0.0103953993591653,0.0218960201793722,1054,0.0316900633504975,0.0103953993591653,0.0212946639913322,1280,82.0146736550653,35.1433793480973,46.871294306968,1070,40.1701492399442,5.39616131923194,34.7739879207122
Acidaminococcus_fermentans_DSM_20731_AND_Bacteroides_intestinalis_341_DSM_17393,1102,0.0793606476554002,0.00943816075233214,0.0699224869030681,859,0.0421586010911051,0.00943816075233214,0.032720440338773,1107,0.070114643602747,0.0207472323192086,0.0493674112835384,843,0.0392481720095571,0.00677678432832917,0.0324713876812279,1078,0.0330977076780621,0.0156251312024292,0.0174725764756329,865,0.0330977076731872,0.0156251311943513,0.0174725764788359,1109,0.051715884557753,0.00970315520645983,0.0420127293512932,867,0.0424483938345646,0.00970315520973992,0.0327452386248246,1101,0.0291332197758745,0.0103953993591454,0.0187378204167291,912,0.0291332197758944,0.0103953993591653,0.0187378204167291,1082,85.9697321555575,32.0394361786507,53.9302959769067,890,61.1439234280488,7.6471163962129,53.4968070318359
Acidaminococcus_fermentans_DSM_20731_AND_Bacteroides_stercoris_ATCC_43183,1131,0.0793606476554002,0.00943816075233214,0.0699224869030681,910,0.0220305298190665,0.00943816075233214,0.0125923690667343,1122,0.070114643602747,0.0207472323192086,0.0493674112835384,896,0.0340245825436433,0.0207472323192086,0.0132773502244347,1100,0.0330977076780621,0.0156251312024292,0.0174725764756329,906,0.030405943571448,0.0156251311943505,0.0147808123770975,1131,0.051715884557753,0.00970315520645983,0.0420127293512932,921,0.0249299799441738,0.0097031552097398,0.015226824734434,1107,0.0291332197758944,0.0103953993591653,0.0187378204167291,439,0.0142479368987371,0,0.0142479368987371,1079,44.7037184724468,35.1433793480974,9.56033912434942,890,30.0799420499236,20.5196029255742,9.56033912434942
