Model,HF_WT,HF_MRM,HF_WTR,HF_MRR,MED_WT,MED_MRM,MED_WTR,MED_MRR,UNH_WT,UNH_MRM,UNH_WTR,UNH_MRR,VEG_WT,VEG_MRM,VEG_WTR,VEG_MRR,WES_WT,WES_MRM,WES_WTR,WES_MRR,NOD_WT,NOD_MRM,NOD_WTR,NOD_MRR
Acidaminococcus_fermentans_DSM_20731,0.00943816075233213,0.00943816075233214,462,452,0.0207472323192086,0.0207472323192086,469,443,0.0156251312024295,0.0156251311943516,462,452,0.00970315520645983,0.00970315520973979,462,453,0.0103953993591653,0.0103953993591653,464,454,35.1433793480973,20.5196029255742,484,447
Akkermansia_muciniphila_ATCC_BAA_835,0.166593365585809,0.166593365585809,524,478,0.145252274036523,0.145252274036523,526,478,0.0596911214264911,0.0472077955361817,522,474,0.115659624961341,0.115659624961341,530,479,0.0218960201793722,0.0218960201793722,524,489,40.2041557648771,26.8027705099178,500,486
Alistipes_finegoldii_DSM_17242,0.00943816075214993,0.00943816075233214,466,447,0.145252274036523,0.145252274036523,493,428,0.0596911214264911,0.0596911214264911,492,435,0.0695358667816562,0.0695358667815845,491,435,0.0103953993591653,0.0103953993591653,468,458,83.1757722549708,59.5901171260636,464,450
Alistipes_putredinis_DSM_17216,0.0207472323192086,0.0207472323192086,487,466,0.0207472323192086,0.0207472323192086,487,481,0.0156251311943441,0.0156251311943507,487,481,0.00970315520974031,0.00970315520973979,487,481,0.0135700234924247,0.0135700234924247,491,486,60.1452519003225,58.7212503170215,492,487
Alistipes_shahii_WAL_8301,0.00943816075214993,0.00943816075233214,490,474,0.0134213343383228,0.0134213343383228,485,474,0.0134213343383228,0.0134213343383228,485,474,0.0134213343383228,0.0134213343383228,485,474,0.0103953993591653,0.0103953993591653,484,449,66.6229653325567,46.8724835335403,494,464
Bacteroides_caccae_ATCC_43185,0.0159186067627845,0.0159186067627845,371,362,0.0159186067627845,0.0159186067627845,371,362,0.0159186067627844,0.0159186067627845,371,362,0.0159186067627845,0.0159186067627845,371,362,0.0187378204167291,0.00717835238627575,394,368,52.1699733485518,52.1699733485518,378,363
Bacteroides_coprocola_M16_DSM_17136,0.00562259791378525,0.00562259791371941,377,373,0.00562259791379297,0.00562259791371941,377,373,0.00562259791378576,0.0056225979137193,377,370,0.00562259791380481,0.00562259791371941,377,373,0.0100522492284593,0.0100522492280849,383,375,65.1977387621014,54.3231427137515,398,377
Bacteroides_eggerthii_DSM_20697,0.00576901367688186,0.00576901367680841,389,383,0.00576901367688186,0.00576901367680841,389,383,0.00576901367688186,0.00576901367680841,389,383,0.00576901367688186,0.00576901367680841,389,383,0.0103842246182551,0.0103842246182551,391,385,3.53919660237126,3.53919660237126,383,368
Bacteroides_fragilis_NCTC_9343,0.185783282412536,0.185783282412536,576,486,0.145252274036523,0.145252274036523,576,486,0.0596911214264911,0.0596911214264911,576,488,0.115659624961341,0.115659624961341,580,495,0.0218960201793722,0.0218960201793722,578,528,46.8751200717182,35.1563400537883,570,550
Bacteroides_intestinalis_341_DSM_17393,0.0318372135255689,0.031837213525569,403,341,0.0318372135255689,0.031837213525569,403,340,0.0236680868564973,0.0236680868564973,377,350,0.031837213525569,0.031837213525569,415,342,0.0187378204167291,0.0187378204167291,402,388,53.9302959769067,53.9302959769067,376,369
Bacteroides_stercoris_ATCC_43183,0.0113735520330907,0.0113735520330907,391,386,0.0113735520330906,0.0113735520330907,391,385,0.0113735520330907,0.0113735520330907,391,385,0.0113735520330907,0.0113735520330907,403,393,0.0187378204167291,0.0142479368987371,433,414,9.56033912434944,9.56033912434942,395,372
Bacteroides_thetaiotaomicron_VPI_5482,0.0318317653005746,0.0318317653005746,529,518,0.0318317653005746,0.0318317653005746,531,504,0.0318317653005746,0.0318317653005746,531,504,0.0318317653005746,0.0318317653005746,535,524,0.0218960201793722,0.0218960201793722,559,537,73.2525960617033,73.2525960617032,536,525
Bacteroides_uniformis_ATCC_8492,0.0159186067627845,0.0159186067627845,386,378,0.0159186067627845,0.0159186067627845,386,378,0.0159186067627845,0.0159186067627845,385,379,0.0159186067627845,0.0159186067627845,387,379,0.0286534921732032,0.0286534921730121,431,356,71.404640673283,53.5983123363613,407,386
Bifidobacterium_adolescentis_ATCC_15703,0.0292193126763542,0.0292193126693291,429,415,0.0453790328000592,0.0453790327922161,429,401,0.0156251312024295,0.0156251311943505,423,413,0.00970315520645983,0.00970315520973962,423,409,0.0828026194277486,0.0828026194277486,464,406,57.8007797979838,48.9877415973865,434,411
Bifidobacterium_bifidum_PRL2010,0.0292193126693278,0.0259249234955508,411,406,0.045379032792208,0.0259249234955508,414,406,0.0156251311943507,0.0156251311943505,403,398,0.00970315520645966,0.00970315520973962,403,399,6.72802626621454,6.72802626621454,530,530,74.4459654478965,55.8344740859223,420,401
Bifidobacterium_longum_NCC2705,0.0509868725047235,0.0188667569252318,273,249,0.0535676102309053,0.0188667569252318,276,249,0.0236680868564973,0.0078837329978303,257,241,0.0244543391072585,0.0229300604843388,259,243,0.0187378204167291,0.0187378204167291,274,248,67.3980325468978,53.7309846493084,269,250
Bilophila_wadsworthia_3_1_6,0.000448359071054072,0.000447606787592415,333,333,0.000448359071294602,0.000447606787592392,333,332,0.000448359071119662,0.000447606787592392,333,332,0.00044835907115692,0.000447606787592392,333,332,0.00448359071081789,0.00448359071080903,339,331,32.6141598001468,21.7427732000977,346,328
Blautia_wexlerae_DSM_19850,0.0426108376057314,0.0148840886710652,426,411,0.0426108376057375,0.0148840886710652,428,410,0.0232796651633097,0.0232796651633097,426,408,0.0266324650883547,0.0266324650878628,422,409,0.0313986135628956,0.00665355908470864,441,408,43.3396782155634,28.1506209061448,446,431
Citrobacter_amalonaticus_Y19,0.185783282412536,0.185783282412536,554,474,0.142575328749595,0.142575328749595,538,471,0.0596911214264911,0.0596911214264911,529,472,0.0771064166408938,0.0771064166408938,537,472,8.97070168828606,4.48535084414303,629,491,124.933861185144,104.11155098762,536,505
Clostridium_clostridioforme_CM201,0.0113955945063834,0.0113955945036436,415,384,0.0176979199548328,0.017697919951774,415,388,0.00609383462452259,0.00609383462137198,414,380,0.0037842513063217,0.00378425130760096,414,394,0.0193080012357121,0.0193080012357121,433,395,64.5682613075813,43.0455075383877,442,413
Collinsella_tanakaei_YIT_12063,0.0113955945063834,0.0113955945036436,404,388,0.0128005793644625,0.0128005793644625,405,388,0.00609383462452259,0.00609383462137198,403,386,0.0037842513063217,0.00378425130760096,405,393,0.0335443541552431,0.0176765591290802,450,402,66.5498635651288,59.1820419211418,455,421
Coprococcus_catus_GD_7,0.0113955944920644,0.0113955945036436,404,383,0.0176979199476734,0.0158951085600953,404,387,0.0060938346245225,0.00609383462137198,404,384,0.00378425131348109,0.00378425130760094,404,392,0.0334469861925225,0.0243728064474197,414,393,56.6456737712626,40.9893862848289,453,423
Desulfovibrio_desulfuricans_subsp_desulfuricans_DSM_642,0.0853453615822369,0.0853453615821152,513,458,0.0894339866742571,0.0894339866702846,513,460,0.0596911214264911,0.0596911214264911,513,458,0.0433102564107614,0.0433102564111071,508,459,0.0913520820691448,0.0913520820692487,524,461,66.0540849967231,11.2953508335969,500,465
Desulfovibrio_piger_ATCC_29098,0.00122803161958143,0.00122803161955462,333,330,0.00122803161958143,0.00122803161955462,332,330,0.00122803161952559,0.00122803161955462,332,330,0.00122803161958143,0.00122803161955463,332,330,0.0221003324428958,0.0221003324428957,359,335,35.1400666129393,35.1400666129393,341,335
Dialister_invisus_DSM_15470,0.000884409343775971,0,440,0,0.000884409343780392,0,440,0,0.000884409343759767,0,440,0,0.000884409343769181,0,440,0,0.00038517375738313,0.000384608955728764,440,442,8.13901917464527,3.01508241460192,439,424
Dorea_longicatena_DSM_13814,0.0115857302356561,0.0115857302328703,270,268,0.0179932101141428,0.00281518444728156,272,268,0.00619551038086437,0.00281518444728156,270,268,0.00384739161738444,0.00384739161868499,270,267,0.0084008575595957,0.00840085755953968,294,275,51.9420345131517,39.5016373882966,302,273
Enterobacter_cloacae_EcWSU1,0.185783282412536,0.185783282412536,555,474,0.106931496562196,0.053465748281098,558,481,0.0596911214264911,0.0596911214264911,555,481,0.0578298124806704,0.0578298124806704,549,484,6.72802626621454,6.72802626621454,623,496,150.497890828497,129.586246933861,554,516
Enterococcus_faecium_TX1330,0.0115857302210981,0.0115857302328706,234,231,0.0179932100995846,0.0179932101110328,235,233,0.0061955103776603,0.00619551037766116,234,231,0.00384739161868529,0.00384739161868508,234,231,0.0182215743440233,0.0182215743440233,249,237,58.402533716834,38.9350224778893,254,244
Escherichia_coli_str_K_12_substr_MG1655,0.0736648057456932,0.0736648057456932,407,305,0.0575938825715284,0.0575938825715284,403,306,0.0236680868564973,0.00619551037766116,386,356,0.0458601209686777,0.0458601209686777,402,303,5.33545044006795,0.292284849122561,523,373,122.71865107266,102.26554256055,408,390
Eubacterium_rectale_M104_1,0.0377294991117108,0.00282207150704754,272,237,0.0377294991111961,0.00282207150704754,272,237,0.0236680868564973,0.00282207150704754,267,237,0.0267590267897852,0.00282207150704754,270,237,0.0187378204167291,0.0187378204167291,266,252,63.2422453248513,47.9137914110634,253,240
Faecalibacterium_prausnitzii_L2_6,0.011585730235656,0.0115857302328705,254,237,0.0179932101141427,0.0179932101110328,260,243,0.00619551038086434,0.00619551037766116,251,232,0.00384739162466332,0.00384739161868508,248,232,0.0187378204167291,0.0187378204167291,271,255,59.5478075265436,39.6985383510291,254,244
Fusobacterium_varium_ATCC_27725,0.0115857302353984,0.0115857302328705,353,348,0.0179932101141427,0.00548520884910745,358,348,0.00619551036630667,0.00619551037766116,349,344,0.00384739162466333,0.00384739161868504,348,343,0.0182215743440233,0.0182215743440233,373,349,71.941330070579,55.8662681169581,398,379
Haemophilus_parainfluenzae_T3T1,0.0292193126693296,0.00459874395426124,530,511,0.045379032792217,0.0453790327922178,534,488,0.0156251312024292,0.004598743954261,528,509,0.00970315520974083,0.00970315520973962,518,508,0.0253344142683421,0.0253344142683421,548,531,97.795076031613,78.5445868705437,533,512
Helicobacter_pylori_26695,0.055784981056305,0.0557849810554146,373,343,0.0575938825715284,0.0575938825715284,376,338,0.0236680868564973,0.00619551037766119,370,344,0.0267556093718776,0.0038473916186851,378,344,0.0182215743440233,0.0182215743440233,356,333,48.1598439862496,32.1065626574997,362,344
Klebsiella_pneumoniae_pneumoniae_MGH78578,0.0736648057456932,0.0736648057456932,380,313,0.0575938825715284,0.0575938825715284,380,311,0.0236680868564973,0.0236680868564973,369,357,0.0458601209686777,0.0458601209686777,374,312,5.33545044006795,2.66772522003398,462,330,101.464065176197,81.1969874764649,375,351
Lactobacillus_mucosae_LM1,0.00115458067321725,0.00115458067320255,379,365,0.00115458067321725,0.00115458067320256,379,368,0.00115458067314831,0.00115458067320255,379,365,0.00115458067321725,0.00115458067320255,386,368,0.00259780651472868,0.00259780651470574,390,370,46.7251007730068,33.5413616097298,409,392
Lactobacillus_reuteri_SD2112_ATCC_55730,0.01158573023287,0.0115857302328705,227,222,0.0179932101110324,0.00315319269589399,239,223,0.00619551037766116,0.00315319269589399,225,222,0.00384739161868508,0.00384739161868508,222,217,0.0124070299886186,0.0124070299886186,234,226,67.7215591371642,67.7215591371642,241,236
